iter	Passed	Remaining
0	2	249
1	6	327
2	10	337
3	14	352
4	18	342
5	23	362
6	27	367
7	30	353
8	36	364
9	38	348
10	43	355
11	48	352
12	52	351
13	56	349
14	60	341
15	63	335
16	68	333
17	72	329
18	76	328
19	82	331
20	87	327
21	92	327
22	96	322
23	101	321
24	105	316
25	111	316
26	120	326
27	125	323
28	131	322
29	137	320
30	149	333
31	157	335
32	162	330
33	171	332
34	176	328
35	180	321
36	184	313
37	188	308
38	192	300
39	197	296
40	202	291
41	207	286
42	213	282
43	220	280
44	223	273
45	227	266
46	233	262
47	237	257
48	243	253
49	245	245
50	248	238
51	254	234
52	260	230
53	262	223
54	266	218
55	271	213
56	276	208
57	282	204
58	288	200
59	291	194
60	296	189
61	300	184
62	307	180
63	309	173
64	313	168
65	320	165
66	322	159
67	325	153
68	328	147
69	331	142
70	336	137
71	340	132
72	346	128
73	350	123
74	354	118
75	360	113
76	365	109
77	370	104
78	374	99
79	380	95
80	383	90
81	387	85
82	391	80
83	394	75
84	397	70
85	401	65
86	404	60
87	407	55
88	410	50
89	414	46
90	418	41
91	422	36
92	424	31
93	429	27
94	435	22
95	438	18
96	442	13
97	446	9
98	448	4
99	454	0
