Age,Gender,Department,JobRole,Education,EducationLevel,MonthlyIncome,DailyRate,HourlyRate,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,BusinessTravel,MaritalStatus,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,DistanceFromHome,Attrition
39,Male,HR,Director,Bachelor,4,2375,533,46,9,18,3,0,4,1,3,3,2,4,4,Yes,Travel_Frequently,Married,2,6,0,1,No
33,Female,Sales,Manager,High School,3,3532,1330,78,10,6,3,1,0,0,1,3,4,3,3,No,Travel_Rarely,Married,1,2,0,1,No
41,Male,Finance,Director,High School,3,1243,1151,16,6,4,7,2,0,3,4,4,4,3,3,Yes,Travel_Rarely,Married,1,6,3,1,No
50,Female,HR,Manager,Master,4,8026,781,38,8,6,2,2,3,1,4,4,4,4,4,No,Travel_Frequently,Divorced,2,2,1,2,No
32,Male,HR,Specialist,PhD,3,4134,1459,80,5,8,7,4,0,11,3,4,1,1,3,No,Travel_Rarely,Married,1,3,2,21,No
32,Male,Sales,Analyst,Bachelor,2,4598,687,52,18,2,4,4,1,1,2,4,4,1,4,Yes,Non-Travel,Divorced,1,2,1,1,Yes
50,Male,Finance,Engineer,Bachelor,2,1742,1192,45,15,23,0,2,1,7,4,1,1,1,3,No,Non-Travel,Single,3,4,0,3,No
42,Male,IT,Specialist,High School,3,5660,965,40,14,11,0,4,0,8,1,1,4,2,4,Yes,Travel_Frequently,Married,3,6,1,6,Yes
30,Female,Finance,Junior,High School,4,2368,845,43,6,10,2,0,4,0,1,3,2,2,3,No,Travel_Rarely,Single,1,2,0,1,Yes
40,Male,R&D,Senior,PhD,1,1851,1290,81,15,1,2,0,1,4,1,1,2,3,3,No,Travel_Rarely,Married,3,2,1,11,Yes
30,Female,Operations,Analyst,PhD,3,2923,963,92,4,9,6,6,1,1,1,3,4,4,3,No,Travel_Frequently,Single,3,6,1,2,Yes
30,Male,Marketing,Junior,PhD,3,2889,467,39,15,1,4,0,11,7,3,3,4,4,4,Yes,Non-Travel,Divorced,2,2,1,10,No
37,Male,IT,Engineer,Master,1,1738,350,62,0,0,2,0,1,1,4,3,1,3,3,No,Non-Travel,Married,1,1,0,1,No
18,Male,HR,Director,High School,3,1905,958,79,18,7,0,3,0,4,3,3,3,1,3,No,Travel_Frequently,Divorced,3,6,0,1,No
18,Female,IT,Manager,Master,1,1832,955,67,4,5,1,1,1,1,1,2,1,2,3,No,Travel_Rarely,Divorced,2,4,2,1,Yes
29,Male,Operations,Engineer,High School,4,1841,1293,81,6,8,4,6,3,0,1,3,2,4,3,No,Non-Travel,Single,2,4,2,2,Yes
24,Female,HR,Specialist,High School,2,2455,1213,32,18,0,2,1,2,0,1,1,4,3,3,Yes,Travel_Rarely,Married,2,2,0,9,No
38,Female,Operations,Senior,Bachelor,4,1488,660,23,21,5,3,0,3,1,3,1,2,1,4,No,Non-Travel,Divorced,3,1,0,1,No
25,Female,HR,Specialist,High School,2,2109,393,52,4,1,0,1,2,4,1,1,3,1,3,No,Travel_Rarely,Single,1,4,2,5,No
20,Female,IT,Analyst,High School,1,5026,1018,35,16,40,5,2,0,2,4,1,1,2,3,Yes,Non-Travel,Single,3,5,2,1,No
49,Female,HR,Analyst,Master,2,4499,1273,79,21,8,9,1,3,3,1,2,2,2,3,No,Travel_Rarely,Single,1,5,3,8,No
32,Female,HR,Senior,High School,4,1763,1255,35,7,11,1,2,4,0,4,4,1,3,3,No,Travel_Frequently,Married,5,2,0,7,No
35,Female,R&D,Junior,Master,2,4813,532,41,0,3,3,6,0,1,4,4,4,3,3,No,Non-Travel,Married,2,2,1,3,No
20,Female,Finance,Junior,PhD,1,1115,158,84,1,0,18,7,0,0,1,3,2,1,3,Yes,Travel_Frequently,Single,1,3,0,1,Yes
29,Female,Finance,Analyst,High School,2,10042,1068,58,14,37,2,0,7,5,3,3,3,1,3,Yes,Non-Travel,Married,2,6,1,5,No
36,Male,Marketing,Analyst,High School,3,5711,935,42,19,3,4,1,4,13,2,1,1,4,3,No,Non-Travel,Single,2,3,0,1,Yes
23,Male,Marketing,Director,Master,4,2253,298,59,17,5,0,2,4,1,2,1,1,1,3,No,Non-Travel,Married,1,5,0,1,Yes
38,Male,R&D,Manager,PhD,3,3609,314,31,10,10,4,8,4,0,4,4,3,3,3,Yes,Travel_Rarely,Married,0,4,0,4,No
28,Male,Marketing,Director,Bachelor,1,1479,997,54,24,0,0,19,1,0,3,4,2,2,3,No,Non-Travel,Single,2,2,1,23,No
32,Male,Operations,Director,PhD,2,3072,571,17,9,16,15,0,2,3,2,1,2,3,3,Yes,Travel_Frequently,Single,3,0,1,11,Yes
28,Female,IT,Junior,Master,3,2719,346,90,23,7,6,3,1,2,1,3,1,4,3,No,Travel_Rarely,Married,1,4,1,4,No
53,Female,Sales,Senior,PhD,3,1963,481,90,23,3,7,1,0,4,1,2,3,4,3,No,Travel_Rarely,Single,2,0,2,3,Yes
34,Female,Operations,Junior,Master,2,2358,1090,80,3,0,6,0,2,0,4,2,1,2,3,No,Non-Travel,Single,4,1,2,30,No
24,Female,Sales,Manager,Master,2,2245,1362,60,4,1,4,0,1,4,3,4,1,3,4,No,Travel_Rarely,Single,2,1,1,3,No
43,Female,Sales,Specialist,Bachelor,4,1692,1026,44,3,22,2,1,2,3,3,4,4,4,3,No,Non-Travel,Single,2,6,3,2,No
22,Female,R&D,Analyst,High School,3,1940,1490,83,12,11,9,2,1,1,2,4,2,3,3,No,Travel_Frequently,Married,2,2,1,12,Yes
37,Female,Operations,Analyst,Master,3,1449,1291,23,24,2,15,0,1,2,2,2,2,4,3,No,Travel_Rarely,Divorced,2,6,0,1,Yes
18,Male,R&D,Manager,Master,1,4576,659,99,12,0,3,3,0,0,1,2,4,2,3,No,Travel_Rarely,Married,3,4,3,1,No
21,Male,HR,Director,Bachelor,4,1870,1174,25,17,11,13,1,0,1,4,1,2,4,3,Yes,Travel_Frequently,Single,2,6,0,5,No
36,Male,Sales,Senior,Master,1,1618,788,83,23,8,4,2,0,6,3,3,2,3,3,No,Travel_Frequently,Single,1,5,1,1,Yes
42,Male,IT,Analyst,High School,3,4540,479,80,1,5,3,1,0,1,2,4,2,3,3,Yes,Non-Travel,Married,2,1,0,2,No
36,Female,Marketing,Engineer,Bachelor,1,3586,573,45,15,4,3,0,7,5,2,1,3,4,3,No,Travel_Rarely,Single,2,4,1,2,Yes
33,Female,IT,Director,High School,3,4457,1203,47,0,2,1,1,0,2,4,2,4,1,3,Yes,Travel_Frequently,Married,1,3,1,3,No
31,Female,Marketing,Analyst,High School,3,4712,796,53,18,11,0,0,0,0,4,1,1,2,3,No,Travel_Rarely,Divorced,2,5,0,23,No
20,Male,Sales,Engineer,Bachelor,1,7853,1490,60,8,35,1,2,1,2,1,2,3,2,3,Yes,Travel_Frequently,Single,0,1,1,1,No
27,Female,Sales,Manager,Master,1,2757,1010,51,2,1,3,0,1,2,4,3,1,4,3,No,Travel_Rarely,Divorced,4,3,2,2,Yes
30,Female,Sales,Manager,High School,2,1438,1059,74,24,9,2,2,0,1,1,2,4,4,3,No,Travel_Frequently,Divorced,3,5,0,1,Yes
45,Female,R&D,Director,High School,2,3413,577,45,6,5,2,0,3,0,1,1,4,1,3,No,Travel_Rarely,Single,2,3,0,4,Yes
38,Male,Operations,Analyst,High School,2,2133,1103,25,9,5,19,3,3,1,4,3,4,2,3,No,Non-Travel,Single,5,0,0,6,Yes
18,Female,Marketing,Junior,High School,3,1846,1025,16,0,2,2,4,0,0,4,2,2,1,3,No,Travel_Rarely,Married,4,2,2,3,No
38,Male,Operations,Engineer,Bachelor,1,3133,806,41,9,17,3,0,0,0,4,4,3,2,3,No,Non-Travel,Married,2,2,2,1,No
31,Male,R&D,Senior,Bachelor,4,4595,1337,16,20,6,0,1,5,1,4,2,4,4,3,No,Non-Travel,Single,1,3,2,4,No
28,Male,R&D,Analyst,PhD,3,1962,1492,35,8,7,0,0,3,1,4,3,1,2,3,No,Non-Travel,Married,0,4,0,3,No
41,Male,Finance,Senior,PhD,4,5637,953,72,14,3,7,2,2,7,1,1,2,2,3,Yes,Travel_Rarely,Divorced,0,4,0,1,Yes
45,Female,IT,Analyst,High School,1,1817,1237,19,14,2,4,0,0,1,2,3,2,2,3,No,Travel_Rarely,Divorced,2,3,0,2,Yes
44,Male,IT,Junior,Master,3,2638,1116,66,2,0,7,2,1,4,3,1,3,1,4,No,Non-Travel,Single,0,0,0,2,No
26,Male,HR,Junior,High School,4,3616,853,59,24,12,0,2,1,2,3,2,3,1,3,No,Travel_Frequently,Married,4,2,1,20,Yes
31,Female,R&D,Director,Master,4,2455,602,99,4,2,4,7,0,3,1,2,3,2,4,No,Travel_Rarely,Single,1,2,3,9,No
38,Female,Marketing,Director,High School,2,1226,916,34,8,11,1,2,1,0,1,3,2,3,3,No,Travel_Rarely,Divorced,2,6,0,6,Yes
44,Male,Finance,Junior,PhD,2,4739,687,75,21,4,1,2,1,8,2,4,4,1,3,Yes,Travel_Rarely,Single,3,3,3,10,Yes
30,Female,Finance,Specialist,PhD,2,2182,1434,52,8,5,0,1,0,2,4,2,1,4,3,No,Travel_Rarely,Single,2,5,0,6,No
33,Male,Operations,Junior,Master,3,4326,807,34,22,6,0,8,3,5,1,4,4,4,3,No,Non-Travel,Single,5,3,3,11,Yes
23,Male,IT,Manager,High School,1,1584,1167,39,6,4,1,4,3,1,3,4,1,2,3,No,Travel_Frequently,Single,1,4,0,1,Yes
23,Male,R&D,Manager,Master,1,1725,1369,16,23,1,0,1,0,0,4,3,4,4,3,No,Travel_Frequently,Divorced,0,2,3,3,Yes
43,Male,HR,Specialist,PhD,2,4588,1207,46,22,3,21,5,3,3,1,2,3,1,3,Yes,Travel_Frequently,Single,3,0,0,6,Yes
48,Female,R&D,Engineer,High School,2,3534,306,40,11,10,1,1,0,0,4,4,1,3,3,No,Travel_Frequently,Single,2,1,3,4,No
34,Male,Operations,Senior,High School,2,2393,250,84,24,10,0,5,3,1,3,2,2,3,3,Yes,Non-Travel,Married,3,0,0,1,No
45,Female,Sales,Analyst,Master,4,3559,767,55,8,3,1,5,0,0,4,1,1,3,4,No,Travel_Rarely,Single,2,2,0,2,No
38,Female,R&D,Analyst,Bachelor,2,1850,627,81,5,6,4,0,0,2,1,4,2,4,4,No,Travel_Rarely,Married,0,5,1,1,Yes
28,Female,Operations,Specialist,Master,4,3149,264,15,22,2,0,3,2,11,1,3,4,2,3,No,Non-Travel,Single,2,3,0,1,No
38,Female,Sales,Manager,PhD,1,3178,1016,65,1,2,9,1,1,1,3,3,3,4,4,No,Travel_Rarely,Married,1,3,1,2,No
50,Male,Sales,Director,PhD,3,2472,1268,19,8,0,16,1,4,5,2,4,1,2,4,No,Non-Travel,Single,3,2,3,3,No
34,Female,HR,Analyst,PhD,3,1963,1109,27,16,22,1,1,0,2,2,2,2,3,3,Yes,Travel_Frequently,Married,3,1,1,9,Yes
50,Male,Marketing,Manager,PhD,3,3087,136,33,0,2,2,3,0,2,4,1,4,1,3,No,Non-Travel,Single,1,3,2,6,No
18,Female,IT,Engineer,PhD,3,2900,432,26,18,2,0,0,1,7,1,1,3,4,3,Yes,Travel_Rarely,Single,0,2,0,9,No
43,Female,R&D,Senior,Bachelor,4,2361,502,62,5,3,5,0,1,6,1,3,3,1,3,No,Travel_Rarely,Married,3,2,1,10,No
35,Male,Sales,Engineer,High School,4,1777,513,39,4,1,2,3,0,4,3,3,3,3,3,Yes,Travel_Rarely,Single,1,3,1,2,Yes
32,Male,R&D,Specialist,Master,2,2999,144,71,1,10,1,0,2,1,3,2,4,2,3,No,Travel_Frequently,Single,6,1,2,2,No
35,Male,Marketing,Junior,Master,4,2364,305,49,8,0,1,0,2,2,1,3,4,1,3,Yes,Non-Travel,Single,2,0,0,1,No
18,Female,IT,Junior,PhD,2,1776,161,90,13,1,5,0,3,0,3,2,4,4,3,No,Non-Travel,Single,1,3,1,13,No
32,Female,Marketing,Junior,Master,2,3046,519,19,3,10,2,1,7,1,2,4,3,1,3,No,Travel_Rarely,Divorced,2,3,0,1,Yes
38,Male,IT,Engineer,PhD,3,6661,967,36,3,4,0,1,0,1,2,1,1,1,3,No,Non-Travel,Single,2,5,0,6,No
49,Male,Finance,Analyst,Bachelor,4,2481,919,91,20,12,5,0,2,5,4,4,2,4,3,No,Travel_Rarely,Divorced,0,2,0,2,No
29,Male,IT,Senior,Bachelor,4,6303,118,71,14,8,4,10,1,6,3,3,4,2,4,No,Non-Travel,Divorced,3,3,0,14,No
26,Male,HR,Junior,High School,2,8579,464,61,7,2,9,3,2,1,4,1,1,4,3,No,Travel_Frequently,Single,1,3,0,2,No
29,Female,Marketing,Specialist,Bachelor,2,1850,1423,68,3,10,0,1,1,0,3,1,2,3,3,No,Travel_Frequently,Married,2,2,0,8,No
44,Male,Sales,Specialist,Bachelor,1,2994,1130,17,15,1,7,1,10,5,3,4,3,2,4,No,Non-Travel,Married,2,6,2,1,No
38,Male,Finance,Junior,High School,1,8534,527,67,20,7,5,1,2,0,2,2,1,1,4,No,Travel_Frequently,Single,3,5,0,1,No
29,Male,HR,Junior,Master,2,2805,1240,98,3,5,0,2,6,2,1,1,3,4,3,Yes,Travel_Frequently,Divorced,1,3,2,4,No
40,Male,R&D,Senior,PhD,1,3036,679,45,15,3,5,0,3,0,3,2,2,3,3,No,Travel_Frequently,Married,1,1,0,30,No
35,Female,Marketing,Junior,PhD,1,1293,645,83,21,9,2,0,4,1,3,4,4,4,4,No,Travel_Rarely,Single,2,3,0,3,No
44,Male,Operations,Senior,Master,2,2285,424,47,11,20,14,5,3,12,3,4,3,2,3,Yes,Non-Travel,Single,1,4,1,13,No
27,Female,Operations,Specialist,High School,2,3935,154,86,15,40,0,0,1,0,1,2,1,3,3,No,Non-Travel,Divorced,3,2,1,7,No
31,Male,Sales,Junior,Master,4,10043,877,64,18,9,5,1,0,1,4,4,4,1,3,No,Travel_Rarely,Married,1,2,1,7,No
31,Male,IT,Engineer,Bachelor,2,2702,1091,98,7,5,2,6,0,1,4,1,1,2,3,Yes,Travel_Rarely,Single,4,3,1,2,Yes
20,Female,Sales,Director,High School,2,1298,141,30,5,2,15,3,0,7,3,4,2,3,3,No,Travel_Frequently,Married,0,2,0,2,No
37,Male,Operations,Engineer,High School,3,1476,1420,90,9,2,2,1,1,6,3,4,2,2,3,No,Non-Travel,Single,2,1,1,1,Yes
37,Female,R&D,Specialist,High School,4,2928,330,91,4,6,16,3,1,0,4,1,4,1,4,Yes,Travel_Rarely,Single,5,1,1,16,No
35,Female,Finance,Senior,PhD,4,5370,552,53,17,4,11,0,1,0,4,2,1,3,3,No,Travel_Frequently,Single,3,3,0,16,Yes
32,Male,Finance,Engineer,Master,4,4099,493,60,9,24,1,3,7,2,2,4,1,4,3,No,Non-Travel,Divorced,3,3,2,6,No
20,Female,Marketing,Senior,High School,3,3752,1481,61,9,4,8,2,4,1,3,2,1,4,3,Yes,Travel_Frequently,Divorced,2,3,2,1,No
